Cloud URL,Project Key,Field ID,Field Name,Field Type,Translated Field Type
https://jira.skatelescope.org,DAAC,customfield_15202,Checklists,string,Text Field
https://jira.skatelescope.org,DAAC,customfield_14113,Operational categorization,option-with-child,Select List (cascading)
https://jira.skatelescope.org,DAAC,customfield_15203,Smart Checklist Progress,string,Text Field
https://jira.skatelescope.org,DAAC,customfield_14114,Source,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_14111,Pending reason,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_17500,Groups,array,Labels
https://jira.skatelescope.org,DAAC,customfield_14112,Product categorization,option-with-child,Select List (cascading)
https://jira.skatelescope.org,DAAC,customfield_15201,Smart Checklist,any,N/A
https://jira.skatelescope.org,DAAC,customfield_14117,Workaround,string,Text Field
https://jira.skatelescope.org,DAAC,customfield_14118,Time to resolution,sd-servicelevelagreement,N/A
https://jira.skatelescope.org,DAAC,customfield_14115,Investigation reason,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_14108,Urgency,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_14109,Change managers,array,Labels
https://jira.skatelescope.org,DAAC,customfield_14102,Impact,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_14103,Change type,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_14101,Approvers,array,Labels
https://jira.skatelescope.org,DAAC,customfield_14106,Change start date,datetime,Date Time Picker
https://jira.skatelescope.org,DAAC,customfield_14107,Change completion date,datetime,Date Time Picker
https://jira.skatelescope.org,DAAC,customfield_14104,Change risk,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_14105,Change reason,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_12151,Reject Reason,string,Text Field
https://jira.skatelescope.org,DAAC,customfield_13001,ECP(s) Affecting this document,any,N/A
https://jira.skatelescope.org,DAAC,customfield_15420,Time to approve,sd-servicelevelagreement,N/A
https://jira.skatelescope.org,DAAC,customfield_15300,Helpdesk Change SLA,sd-servicelevelagreement,N/A
https://jira.skatelescope.org,DAAC,customfield_14323,Users who require software,array,Labels
